transaction_date,owner,ticker,asset_description,asset_type,transaction_type,amount,comment,party,state,industry,sector,senator,ptr_link,disclosure_date,amount_value,committees,return
2014-10-23,N/A,N/A,This filing was disclosed via scanned PDF. Use link in ptr_link column to view the PDF.,PDF Disclosed Filing,N/A,Unknown,,,,,,Richard Burr,https://efdsearch.senate.gov/search/view/paper/597944C5-F426-4C1B-9037-52DBA7DB6557/,2014-10-23,,[],0.0
2014-10-01,Self,CDK,"CDK Global, Inc. (NASDAQ)",,Exchange,"$15,001 - $50,000",Received shares of CDK resulting from a spin-off of ADP.,Republican,ND,Business Services,Miscellaneous,John Hoeven,https://efdsearch.senate.gov/search/view/ptr/2bad305c-8d1e-404e-97bd-c6389864832e/,2014-10-22,32500.5,[],0.0
2014-10-20,Self,AJG,Arthur J Gallagher &amp; Co. (NYSE),,Purchase,"$100,001 - $250,000",--,Republican,ND,Specialty Insurers,Finance,John Hoeven,https://efdsearch.senate.gov/search/view/ptr/2bad305c-8d1e-404e-97bd-c6389864832e/,2014-10-22,175000.5,[],0.0
2014-10-20,Self,CMI,Cummins Inc. (NYSE),,Purchase,"$100,001 - $250,000",--,Republican,ND,Construction/Ag Equipment/Trucks,Industrials,John Hoeven,https://efdsearch.senate.gov/search/view/ptr/2bad305c-8d1e-404e-97bd-c6389864832e/,2014-10-22,175000.5,[],0.0
2014-09-29,Self,BA,The Boeing Company (NYSE),,Sale (Full),"$100,001 - $250,000",--,Republican,ND,Aerospace,Capital Goods,John Hoeven,https://efdsearch.senate.gov/search/view/ptr/2bad305c-8d1e-404e-97bd-c6389864832e/,2014-10-22,175000.5,[],0.0
2014-09-29,Self,ABBV,AbbVie Inc. (NYSE),,Sale (Full),"$100,001 - $250,000",--,Republican,ND,Major Pharmaceuticals,Health Care,John Hoeven,https://efdsearch.senate.gov/search/view/ptr/2bad305c-8d1e-404e-97bd-c6389864832e/,2014-10-22,175000.5,[],0.6153817751610378
2014-09-29,Self,SBUX,Starbucks Corporation (NASDAQ),,Purchase,"$100,001 - $250,000",--,Republican,ND,Restaurants,Consumer Services,John Hoeven,https://efdsearch.senate.gov/search/view/ptr/2bad305c-8d1e-404e-97bd-c6389864832e/,2014-10-22,175000.5,[],0.0
2014-10-21,N/A,N/A,This filing was disclosed via scanned PDF. Use link in ptr_link column to view the PDF.,PDF Disclosed Filing,N/A,Unknown,,,,,,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/cf6b7999-604c-47fd-83c5-47a9366675f3/,2014-10-21,,[],0.0
2014-09-03,Spouse,AAPL,Apple Inc. (NASDAQ),,Sale (Full),"$1,001 - $15,000",SEP,Republican,KS,Computer Manufacturing,Technology,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/78c3b60a-532e-4dc8-8c68-760bd9718ab5/,2014-10-06,8000.5,[],1.4837296568659526
2014-09-02,Spouse,AAPL,Apple Inc. (NASDAQ),,Purchase,"$1,001 - $15,000",SEP,Republican,KS,Computer Manufacturing,Technology,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/78c3b60a-532e-4dc8-8c68-760bd9718ab5/,2014-10-06,8000.5,[],1.4837296568659526
2014-09-22,Spouse,NFLX,"Netflix, Inc. (NASDAQ)",,Purchase,"$15,001 - $50,000",R,Republican,KS,Consumer Electronics/Video Chains,Consumer Services,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/78c3b60a-532e-4dc8-8c68-760bd9718ab5/,2014-10-06,32500.5,[],0.8509860112919659
